address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"Spring Garden, Aberdeen AB25 1DT",Gate 63 Restaurant,Aberdeen,N/A,pending,3,1224211111,2025-05-12 21:50:04.470938,3.7,AB1 8,https://chinatownaberdeen.com/
"249 George St, Aberdeen AB25 1ED",China Town Aberdeen,Aberdeen,N/A,pending,256,1224658388,2025-05-12 21:50:21.711137,4.2,AB1 8,http://rehmatsrestaurant.co.uk/
"1 Back Wynd, Aberdeen AB10 1JN",Rehmat's Restaurant,Aberdeen,N/A,pending,142,1224631640,2025-05-12 21:50:49.825550,4.5,AB1 8,https://www.99aberdeen.co.uk/
"1 Back Wynd, Aberdeen AB10 1JN",Ninety-Nine,Aberdeen,N/A,pending,649,1224004181,2025-05-12 21:51:03.903182,4.5,AB1 8,https://www.prezzo.co.uk/restaurants/aberdeen-union-square-shopping-centre/
"Little Belmont St, Aberdeen AB10 1JG",Prezzo Italian Restaurant Aberdeen Union Square Shopping Centre,Aberdeen,N/A,pending,350,1224644487,2025-05-12 21:51:17.688905,4.0,AB1 8,https://www.belhaven.co.uk/pubs/aberdeen/ma-camerons?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage
"First Level Mall, Aberdeen AB11 5RG",Ma Cameron's,Aberdeen,N/A,pending,42,1224600212,2025-05-12 21:51:35.659826,4.3,AB1 8,https://www.estabulo.co.uk/
"First Level Mall, Aberdeen AB11 5RG",Estabulo Aberdeen,Aberdeen,N/A,pending,42,1224596531,2025-05-12 21:52:03.720423,4.5,AB1 8,https://www.estabulo.co.uk/
"Sea Beach, 7-8 Esplanade, Aberdeen AB24 5NS",Inversnecky Cafe,Aberdeen,N/A,pending,553,1224592345,2025-05-12 21:52:19.294755,4.1,AB1 8,https://www.pizzahut.co.uk/restaurants/find/details/AberdeenBeach?keywordutm_source=google
"Unit 4, Queens Links Leisure Park, Esplanade, Aberdeen AB24 5EN",Pizza Hut Restaurants Aberdeen Beach,Aberdeen,N/A,pending,810,1224492811,2025-05-12 21:52:28.413096,4.0,AB1 8,http://www.kohinooraberdeen.co.uk/
"62 Bridge St, Aberdeen AB11 6JN",Kohinoor Aberdeen,Aberdeen,N/A,pending,64,1224973825,2025-05-12 21:52:53.366689,4.6,AB1 8,https://mediterranean.casa/
"24-26 Thistle St, Aberdeen AB10 1XD",Mediterranean (Aberdeen),Aberdeen,N/A,pending,25,1224443322,2025-05-12 21:53:08.067218,4.4,AB1 8,https://www.lafiammapizzeria.com/
"188 King St, Aberdeen AB24 5BH",La fiamma stone baked pizza,Aberdeen,N/A,pending,227,1224626490,2025-05-12 21:53:39.848820,4.8,AB1 8,https://www.belhaven.co.uk/pubs/aberdeen/old-school-house?utm_source=g_places&utm_medium=locations&utm_campaign=PS_pubpage
"Little Belmont St, Aberdeen AB10 1JG",The Old School House,Aberdeen,N/A,pending,1047,1224640840,2025-05-12 21:53:54.582175,4.1,AB1 8,https://www.belhaven.co.uk/pubs/aberdeen/old-school-house?utm_source=g_places&utm_medium=locations&utm_campaign=PS_pubpage
"22 King St, Aberdeen AB24 5AX",Flakes Diner,Aberdeen,N/A,pending,198,1224625589,2025-05-12 21:54:27.576973,4.2,AB1 8,https://www.nandos.co.uk/restaurants/aberdeen-belmont-street?utm_campaign=websitecta_NA&utm_content=Multi-Chan_GB_NA_NA_NA_all_NA_NA_aberdeen-belmont-street&utm_medium=mybusiness&utm_source=google&utm_term=Local
"Unit 10, The Academy, Belmont St, Aberdeen AB10 1LB",Nando's Aberdeen - Belmont Street,Aberdeen,N/A,pending,472,1224084475,2025-05-12 21:54:41.945643,4.0,AB1 8,https://www.aberdamdutchfries.com/
"62-64 Shiprow, Aberdeen AB11 5BY",ABERDAM Dutch Fries - Shiprow Village,Aberdeen,N/A,pending,413,1224632134,2025-05-12 21:54:55.129494,4.4,AB1 8,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/aberdeen/194-196-king-street/4609323
"194-196 King St, Aberdeen AB24 5BH",Pepe's,Aberdeen,N/A,pending,405,1224580695,2025-05-12 21:55:45.917783,4.1,AB1 8,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/aberdeen/194-196-king-street/4609323
"50 Guild St, Aberdeen AB11 6NB",BrewDog Aberdeen Union Square,Aberdeen,N/A,pending,955,1224590211,2025-05-12 21:55:53.978589,4.3,AB1 8,https://sizzlebbqandgrill.com/order-now
"50 Guild St, Aberdeen AB11 6NB",SIZZLE,Aberdeen,N/A,pending,109,1224451020,2025-05-12 21:56:10.123280,3.5,AB1 8,https://www.allbarone.co.uk/national-search/scotland-and-northern-ireland/all-bar-one-aberdeen?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
"5, Marischal Square, Broad St, Aberdeen AB10 1BL",All Bar One Aberdeen,Aberdeen,N/A,pending,1437,1224581959,2025-05-12 21:56:41.738281,4.4,AB1 8,https://www.allbarone.co.uk/national-search/scotland-and-northern-ireland/all-bar-one-aberdeen?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
"25 Bridge St, Aberdeen AB11 6JL",Nando's Aberdeen - Union Square,Aberdeen,N/A,pending,869,1224582083,2025-05-12 21:56:57.469973,4.1,AB1 8,https://www.chilliflamesaberdeen.com/
"25 Bridge St, Aberdeen AB11 6JL",Chilli Flames Aberdeen,Aberdeen,N/A,pending,157,1224639586,2025-05-12 21:57:06.236980,4.5,AB1 8,http://tastytaberdeen.co.uk/
"19 Correction Wynd, Aberdeen AB10 1HP",Tasty T,Aberdeen,N/A,nowebsite,284,1224652360,2025-05-12 21:57:33.479429,4.1,AB1 8,N/A
"281 George St, Aberdeen AB25 1ED",Mojo Coffee & Food House,Aberdeen,N/A,pending,160,1224641786,2025-05-12 21:57:40.237329,4.6,AB1 8,https://www.shahbaaz-tandoori.co.uk/
"19 Rose St, Aberdeen AB10 1TX",Shahbaaz Tandoori Indian Restaurant and Takeaway Aberdeen,Aberdeen,N/A,pending,250,1224621365,2025-05-12 21:57:47.622883,4.5,AB1 8,https://www.jdwetherspoon.com/pubs/all-pubs/scotland/aberdeen/the-archibald-simpson-aberdeen
"5 Castle St, Aberdeen AB11 5BQ",The Archibald Simpson - JD Wetherspoon,Aberdeen,N/A,pending,2763,235251,2025-05-12 21:58:19.431113,4.0,AB1 8,https://www.jdwetherspoon.com/pubs/all-pubs/scotland/aberdeen/the-archibald-simpson-aberdeen
"235 George St, Aberdeen AB25 1ED",Burrito & Shawarma,Aberdeen,N/A,nowebsite,213,1224379840,2025-05-12 21:58:26.473447,4.5,AB1 8,N/A
"1-3 Justice St, Aberdeen AB11 5HU",Eves Kitchen,Aberdeen,N/A,nowebsite,4,7478529103,2025-05-12 21:58:36.412234,3.0,AB1 8,N/A
